file_name,class,is_train,is_train-fold_1,is_train-fold_2,is_train-fold_3,is_train-fold_4,is_train-fold_5
32PC1_2022-23_57.wav,32PC1_2022-23,False,True,False,True,False,True
32PC1_2022-23_0.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_74.wav,32PC1_2022-23,True,False,True,False,True,True
32PC1_2022-23_20.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_60.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_71.wav,32PC1_2022-23,True,True,True,True,True,False
32PC1_2022-23_66.wav,32PC1_2022-23,True,False,True,True,True,True
32PC1_2022-23_70.wav,32PC1_2022-23,True,False,False,True,False,True
32PC1_2022-23_35.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_84.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_77.wav,32PC1_2022-23,True,True,True,False,False,True
32PC1_2022-23_72.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_106.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_64.wav,32PC1_2022-23,True,True,True,True,False,False
32PC1_2022-23_97.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_37.wav,32PC1_2022-23,True,True,True,True,False,True
32PC1_2022-23_25.wav,32PC1_2022-23,False,True,True,False,True,True
32PC1_2022-23_58.wav,32PC1_2022-23,True,True,True,True,False,True
32PC1_2022-23_50.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_101.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_29.wav,32PC1_2022-23,True,False,False,True,True,False
32PC1_2022-23_75.wav,32PC1_2022-23,True,False,True,True,True,True
32PC1_2022-23_34.wav,32PC1_2022-23,True,True,False,True,True,False
32PC1_2022-23_88.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_85.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_79.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_39.wav,32PC1_2022-23,False,True,False,True,True,True
32PC1_2022-23_1.wav,32PC1_2022-23,True,True,False,True,False,True
32PC1_2022-23_83.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_99.wav,32PC1_2022-23,True,True,True,True,True,False
32PC1_2022-23_8.wav,32PC1_2022-23,True,False,True,True,True,True
32PC1_2022-23_91.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_53.wav,32PC1_2022-23,True,True,True,True,True,False
32PC1_2022-23_11.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_19.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_40.wav,32PC1_2022-23,False,True,True,False,True,False
32PC1_2022-23_95.wav,32PC1_2022-23,False,False,False,True,True,True
32PC1_2022-23_22.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_30.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_102.wav,32PC1_2022-23,True,True,False,False,True,True
32PC1_2022-23_9.wav,32PC1_2022-23,True,True,False,True,True,True
32PC1_2022-23_89.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_32.wav,32PC1_2022-23,True,True,True,True,False,True
32PC1_2022-23_63.wav,32PC1_2022-23,True,False,True,True,False,True
32PC1_2022-23_107.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_42.wav,32PC1_2022-23,True,False,True,False,True,True
32PC1_2022-23_43.wav,32PC1_2022-23,True,True,True,True,False,True
32PC1_2022-23_67.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_94.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_2.wav,32PC1_2022-23,False,True,False,True,True,False
32PC1_2022-23_28.wav,32PC1_2022-23,True,True,False,False,True,True
32PC1_2022-23_59.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_47.wav,32PC1_2022-23,True,False,True,False,False,False
32PC1_2022-23_73.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_65.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_78.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_14.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_24.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_108.wav,32PC1_2022-23,True,True,False,True,True,True
32PC1_2022-23_52.wav,32PC1_2022-23,True,True,False,True,False,True
32PC1_2022-23_80.wav,32PC1_2022-23,True,True,True,True,False,False
32PC1_2022-23_31.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_12.wav,32PC1_2022-23,True,True,False,True,True,True
32PC1_2022-23_4.wav,32PC1_2022-23,True,True,False,False,False,True
32PC1_2022-23_16.wav,32PC1_2022-23,True,True,True,True,False,True
32PC1_2022-23_46.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_103.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_5.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_76.wav,32PC1_2022-23,True,False,True,False,True,True
32PC1_2022-23_96.wav,32PC1_2022-23,True,True,True,True,True,False
32PC1_2022-23_36.wav,32PC1_2022-23,True,False,True,True,True,False
32PC1_2022-23_82.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_68.wav,32PC1_2022-23,False,False,True,True,True,False
32PC1_2022-23_15.wav,32PC1_2022-23,False,True,False,True,True,True
32PC1_2022-23_86.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_51.wav,32PC1_2022-23,False,False,False,True,True,False
32PC1_2022-23_100.wav,32PC1_2022-23,True,False,True,False,True,True
32PC1_2022-23_21.wav,32PC1_2022-23,False,False,True,True,True,True
32PC1_2022-23_45.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_105.wav,32PC1_2022-23,True,True,True,True,False,False
32PC1_2022-23_48.wav,32PC1_2022-23,False,True,True,False,True,True
32PC1_2022-23_92.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_81.wav,32PC1_2022-23,True,True,False,True,True,False
32PC1_2022-23_26.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_44.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_41.wav,32PC1_2022-23,True,False,True,True,True,True
32PC1_2022-23_62.wav,32PC1_2022-23,True,True,True,True,False,True
32PC1_2022-23_56.wav,32PC1_2022-23,True,True,True,False,False,True
32PC1_2022-23_33.wav,32PC1_2022-23,True,True,True,True,True,False
32PC1_2022-23_98.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_7.wav,32PC1_2022-23,False,True,True,True,True,True
32PC1_2022-23_49.wav,32PC1_2022-23,True,False,True,True,True,False
32PC1_2022-23_61.wav,32PC1_2022-23,False,True,False,True,False,False
32PC1_2022-23_54.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_27.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_6.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_38.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_23.wav,32PC1_2022-23,True,True,True,True,False,False
32PC1_2022-23_55.wav,32PC1_2022-23,True,False,True,True,True,True
32PC1_2022-23_104.wav,32PC1_2022-23,True,False,True,True,True,True
32PC1_2022-23_90.wav,32PC1_2022-23,True,True,False,True,True,True
32PC1_2022-23_10.wav,32PC1_2022-23,True,True,True,False,True,True
32PC1_2022-23_69.wav,32PC1_2022-23,True,False,False,True,True,False
32PC1_2022-23_87.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_3.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_18.wav,32PC1_2022-23,False,True,True,True,True,False
32PC1_2022-23_13.wav,32PC1_2022-23,True,True,False,True,False,True
32PC1_2022-23_17.wav,32PC1_2022-23,True,True,True,True,True,True
32PC1_2022-23_93.wav,32PC1_2022-23,True,False,True,True,False,True
32PC1_2021-22_57.wav,32PC1_2021-22,True,True,True,False,False,True
32PC1_2021-22_0.wav,32PC1_2021-22,False,False,True,True,False,True
32PC1_2021-22_74.wav,32PC1_2021-22,True,True,True,True,True,True
32PC1_2021-22_20.wav,32PC1_2021-22,True,True,True,False,False,True
32PC1_2021-22_60.wav,32PC1_2021-22,False,True,False,True,True,True
