file_name,class,call_type,is_train,is_train-fold_1,is_train-fold_2,is_train-fold_3,is_train-fold_4,is_train-fold_5
27B16-1_clipped/27B16-1_exhale-i4_54.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i2_62.wav,27B16-1,exhale,True,True,True,True,False,True
27B16-1_clipped/27B16-1_exhale-i87_182.wav,27B16-1,exhale,False,True,False,True,True,True
27B16-1_clipped/27B16-1_exhale-i23_95.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i65_160.wav,27B16-1,exhale,False,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i72_167.wav,27B16-1,exhale,True,False,True,False,True,True
27B16-1_clipped/27B16-1_exhale-i12_11.wav,27B16-1,exhale,True,True,True,False,False,True
27B16-1_clipped/27B16-1_exhale-i18_90.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i6_30.wav,27B16-1,exhale,True,True,False,True,True,False
27B16-1_clipped/27B16-1_exhale-i35_130.wav,27B16-1,exhale,True,True,True,True,True,False
27B16-1_clipped/27B16-1_exhale-i4_99.wav,27B16-1,exhale,True,False,True,True,True,False
27B16-1_clipped/27B16-1_exhale-i44_139.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i16_111.wav,27B16-1,exhale,True,True,True,True,False,False
27B16-1_clipped/27B16-1_exhale-i70_165.wav,27B16-1,exhale,False,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i13_108.wav,27B16-1,exhale,True,False,True,True,False,True
27B16-1_clipped/27B16-1_exhale-i9_81.wav,27B16-1,exhale,True,True,True,False,False,False
27B16-1_clipped/27B16-1_exhale-i30_125.wav,27B16-1,exhale,True,False,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i59_154.wav,27B16-1,exhale,False,False,False,True,True,True
27B16-1_clipped/27B16-1_exhale-i1_61.wav,27B16-1,exhale,True,False,False,True,False,True
27B16-1_clipped/27B16-1_exhale-i3_98.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i11_83.wav,27B16-1,exhale,False,False,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i7_31.wav,27B16-1,exhale,False,True,True,True,True,False
27B16-1_clipped/27B16-1_exhale-i4_76.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i92_187.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i39_134.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i16_88.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i100_195.wav,27B16-1,exhale,True,True,True,False,False,True
27B16-1_clipped/27B16-1_exhale-i28_123.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i17_112.wav,27B16-1,exhale,False,False,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i7_79.wav,27B16-1,exhale,True,True,True,True,False,True
27B16-1_clipped/27B16-1_exhale-i81_176.wav,27B16-1,exhale,False,True,True,False,True,True
27B16-1_clipped/27B16-1_exhale-i2_74.wav,27B16-1,exhale,True,True,True,False,False,True
27B16-1_clipped/27B16-1_exhale-i24_119.wav,27B16-1,exhale,False,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i2_97.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i1_17.wav,27B16-1,exhale,True,True,False,True,True,True
27B16-1_clipped/27B16-1_exhale-i40_135.wav,27B16-1,exhale,False,True,True,True,True,False
27B16-1_clipped/27B16-1_exhale-i54_149.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i18_113.wav,27B16-1,exhale,True,True,False,True,True,True
27B16-1_clipped/27B16-1_exhale-i17_16.wav,27B16-1,exhale,True,False,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i9_59.wav,27B16-1,exhale,True,True,True,True,True,False
27B16-1_clipped/27B16-1_exhale-i60_155.wav,27B16-1,exhale,False,True,True,True,True,False
27B16-1_clipped/27B16-1_exhale-i75_170.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i50_145.wav,27B16-1,exhale,True,False,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i2_52.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i86_181.wav,27B16-1,exhale,True,False,True,False,False,True
27B16-1_clipped/27B16-1_exhale-i10_9.wav,27B16-1,exhale,False,False,True,True,False,True
27B16-1_clipped/27B16-1_exhale-i23_118.wav,27B16-1,exhale,True,True,False,True,True,True
27B16-1_clipped/27B16-1_exhale-i80_175.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i58_153.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i88_183.wav,27B16-1,exhale,True,True,False,True,True,False
27B16-1_clipped/27B16-1_exhale-i10_34.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i8_80.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i56_151.wav,27B16-1,exhale,True,False,True,False,True,True
27B16-1_clipped/27B16-1_exhale-i12_107.wav,27B16-1,exhale,True,True,False,False,True,True
27B16-1_clipped/27B16-1_exhale-i1_73.wav,27B16-1,exhale,True,True,True,False,True,True
27B16-1_clipped/27B16-1_exhale-i62_157.wav,27B16-1,exhale,False,False,False,True,True,False
27B16-1_clipped/27B16-1_exhale-i14_109.wav,27B16-1,exhale,True,True,True,True,True,True
27B16-1_clipped/27B16-1_exhale-i36_131.wav,27B16-1,exhale,True,True,False,True,True,True
27B16-1_clipped/27B16-1_exhale-i99_194.wav,27B16-1,exhale,True,True,True,False,True,True
27B16-1_clipped/27B16-1_exhale-i43_138.wav,27B16-1,exhale,True,False,False,True,True,True
